Order ID,Order Date,CustomerName,State,City,Month,Year,Month Number
B-25637,26-04-2018,Ashmi,Madhya Pradesh,Indore,Apr,2018,4
B-25638,26-04-2018,Parth,Maharashtra,Pune,Apr,2018,4
B-25639,27-04-2018,Lisha,Madhya Pradesh,Bhopal,Apr,2018,4
B-25640,27-04-2018,Paridhi,Rajasthan,Jaipur,Apr,2018,4
B-25641,27-04-2018,Parishi,West Bengal,Kolkata,Apr,2018,4
B-25642,28-04-2018,Ajay,Karnataka,Bangalore,Apr,2018,4
B-25643,29-04-2018,Kirti,Jammu and Kashmir,Kashmir,Apr,2018,4
B-25644,30-04-2018,Mayank,Maharashtra,Mumbai,Apr,2018,4
B-25645,01-05-2018,Yaanvi,Madhya Pradesh,Indore,May,2018,5
B-25646,01-05-2018,Sonal,Bihar,Patna,May,2018,5
B-25647,03-05-2018,Sharda,Kerala ,Thiruvananthapuram,May,2018,5
B-25648,04-05-2018,Aditya,Punjab,Chandigarh,May,2018,5
B-25649,05-05-2018,Rachna,Haryana,Chandigarh,May,2018,5
B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,May,2018,5
B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,May,2018,5
B-25652,08-05-2018,Tushina,Goa,Goa,May,2018,5
B-25653,08-05-2018,Farah,Nagaland,Kohima,May,2018,5
B-25654,10-05-2018,Sabah,Maharashtra,Mumbai,May,2018,5
B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,May,2018,5
B-25656,11-05-2018,Priyanka,Maharashtra,Pune,May,2018,5
B-25657,13-05-2018,Tulika,Madhya Pradesh,Bhopal,May,2018,5
B-25658,14-05-2018,Shefali,Rajasthan,Jaipur,May,2018,5
B-25659,15-05-2018,Sanskriti,West Bengal,Kolkata,May,2018,5
B-25660,16-05-2018,Shruti,Karnataka,Bangalore,May,2018,5
B-25661,17-05-2018,Subhashree,Jammu and Kashmir,Kashmir,May,2018,5
B-25662,17-05-2018,Sweta,Maharashtra,Mumbai,May,2018,5
B-25663,19-05-2018,Pournamasi,Madhya Pradesh,Indore,May,2018,5
B-25664,20-05-2018,Pratyusmita,Bihar,Patna,May,2018,5
B-25665,21-05-2018,Chayanika,Kerala ,Thiruvananthapuram,May,2018,5
B-25666,22-05-2018,Tanvi,Punjab,Chandigarh,May,2018,5
B-25667,23-05-2018,Anjali,Haryana,Chandigarh,May,2018,5
B-25668,24-05-2018,Rhea,Himachal Pradesh,Simla,May,2018,5
B-25669,25-05-2018,Piyali,Sikkim,Gangtok,May,2018,5
B-25670,25-05-2018,Charika,Goa,Goa,May,2018,5
B-25671,27-05-2018,Mitali,Nagaland,Kohima,May,2018,5
B-25672,28-05-2018,Akanksha,Andhra Pradesh,Hyderabad,May,2018,5
B-25673,28-05-2018,Arsheen,Gujarat,Ahmedabad,May,2018,5
B-25674,28-05-2018,Mahima,Maharashtra,Pune,May,2018,5
B-25675,31-05-2018,Shreya,Madhya Pradesh,Bhopal,May,2018,5
B-25676,01-06-2018,Chandni,Rajasthan,Jaipur,Jun,2018,6
B-25677,02-06-2018,Ekta,West Bengal,Kolkata,Jun,2018,6
B-25678,03-06-2018,Bathina,Karnataka,Bangalore,Jun,2018,6
B-25679,04-06-2018,Avni,Maharashtra,Mumbai,Jun,2018,6
B-25680,04-06-2018,Aayushi,Madhya Pradesh,Indore,Jun,2018,6
B-25681,04-06-2018,Bhawna,Madhya Pradesh,Indore,Jun,2018,6
B-25682,07-06-2018,Krutika,Bihar,Patna,Jun,2018,6
B-25683,08-06-2018,Shreya,Kerala ,Thiruvananthapuram,Jun,2018,6
B-25684,09-06-2018,Samiksha,Maharashtra,Mumbai,Jun,2018,6
B-25685,10-06-2018,Sheetal,Madhya Pradesh,Indore,Jun,2018,6
B-25686,11-06-2018,Pooja,Himachal Pradesh,Simla,Jun,2018,6
B-25687,11-06-2018,Sanjna,Maharashtra,Mumbai,Jun,2018,6
B-25688,11-06-2018,Swetha,Madhya Pradesh,Indore,Jun,2018,6
B-25689,14-06-2018,Bhaggyasree,Maharashtra,Mumbai,Jun,2018,6
B-25690,15-06-2018,Gunjan,Madhya Pradesh,Indore,Jun,2018,6
B-25691,16-06-2018,Akancha,Maharashtra,Mumbai,Jun,2018,6
B-25692,17-06-2018,Rashmi,Madhya Pradesh,Indore,Jun,2018,6
B-25693,18-06-2018,Parna,Madhya Pradesh,Bhopal,Jun,2018,6
B-25694,18-06-2018,Subhasmita,Rajasthan,Jaipur,Jun,2018,6
B-25695,18-06-2018,Suhani,West Bengal,Kolkata,Jun,2018,6
B-25696,21-06-2018,Noopur,Karnataka,Bangalore,Jun,2018,6
B-25697,22-06-2018,Vijay,Jammu and Kashmir,Kashmir,Jun,2018,6
B-25698,23-06-2018,Amisha,Tamil Nadu,Chennai,Jun,2018,6
B-25699,24-06-2018,Kritika,Uttar Pradesh,Lucknow,Jun,2018,6
B-25700,25-06-2018,Shubhi,Maharashtra,Mumbai,Jun,2018,6
B-25701,26-06-2018,Maithilee,Madhya Pradesh,Indore,Jun,2018,6
B-25702,27-06-2018,Shaily,Maharashtra,Mumbai,Jun,2018,6
B-25703,28-06-2018,Ekta,Madhya Pradesh,Indore,Jun,2018,6
B-25704,29-06-2018,Riya,Maharashtra,Mumbai,Jun,2018,6
B-25705,30-06-2018,Shweta,Madhya Pradesh,Indore,Jun,2018,6
B-25706,01-07-2018,Swetlana,Goa,Goa,Jul,2018,7
B-25707,01-07-2018,Shivani,Maharashtra,Mumbai,Jul,2018,7
B-25708,01-07-2018,Kishwar,Madhya Pradesh,Indore,Jul,2018,7
B-25709,01-07-2018,Aakanksha,Madhya Pradesh,Indore,Jul,2018,7
B-25710,05-07-2018,Megha,Maharashtra,Pune,Jul,2018,7
B-25711,06-07-2018,Sakshi,Madhya Pradesh,Bhopal,Jul,2018,7
B-25712,07-07-2018,Adhvaita,Rajasthan,Jaipur,Jul,2018,7
B-25713,08-07-2018,Raksha,West Bengal,Kolkata,Jul,2018,7
B-25714,09-07-2018,Stuti,Karnataka,Bangalore,Jul,2018,7
B-25715,10-07-2018,Srishti,Jammu and Kashmir,Kashmir,Jul,2018,7
B-25716,11-07-2018,Surabhi,Tamil Nadu,Chennai,Jul,2018,7
B-25717,12-07-2018,Manshul,Uttar Pradesh,Lucknow,Jul,2018,7
B-25718,12-07-2018,Anjali,Maharashtra,Mumbai,Jul,2018,7
B-25719,12-07-2018,Rashmi,Madhya Pradesh,Indore,Jul,2018,7
B-25720,15-07-2018,Namrata,Punjab,Chandigarh,Jul,2018,7
B-25721,16-07-2018,Anchal,Haryana,Chandigarh,Jul,2018,7
B-25722,17-07-2018,Inderpreet,Himachal Pradesh,Simla,Jul,2018,7
B-25723,18-07-2018,Wale,Maharashtra,Mumbai,Jul,2018,7
B-25724,19-07-2018,Sheetal,Madhya Pradesh,Indore,Jul,2018,7
B-25725,20-07-2018,Anisha,Nagaland,Kohima,Jul,2018,7
B-25726,21-07-2018,Kiran,Maharashtra,Mumbai,Jul,2018,7
B-25727,22-07-2018,Turumella,Madhya Pradesh,Indore,Jul,2018,7
B-25728,22-07-2018,Ameesha,Maharashtra,Pune,Jul,2018,7
B-25729,22-07-2018,Madhulika,Madhya Pradesh,Bhopal,Jul,2018,7
B-25730,22-07-2018,Rishabh,Rajasthan,Jaipur,Jul,2018,7
B-25731,26-07-2018,Akash,West Bengal,Kolkata,Jul,2018,7
B-25732,27-07-2018,Anubhaw,Karnataka,Bangalore,Jul,2018,7
B-25733,28-07-2018,Dhirajendu,Maharashtra,Mumbai,Jul,2018,7
B-25734,29-07-2018,Pranav,Madhya Pradesh,Indore,Jul,2018,7
B-25735,30-07-2018,Arindam,Uttar Pradesh,Lucknow,Jul,2018,7
B-25736,31-07-2018,Akshat,Maharashtra,Mumbai,Jul,2018,7
B-25737,01-08-2018,Shubham,Madhya Pradesh,Indore,Aug,2018,8
B-25738,02-08-2018,Ayush,Punjab,Chandigarh,Aug,2018,8
B-25739,03-08-2018,Daksh,Haryana,Chandigarh,Aug,2018,8
B-25740,03-08-2018,Rane,Maharashtra,Mumbai,Aug,2018,8
B-25741,03-08-2018,Navdeep,Madhya Pradesh,Indore,Aug,2018,8
B-25742,03-08-2018,Ashwin,Goa,Goa,Aug,2018,8
B-25743,07-08-2018,Aman,Nagaland,Kohima,Aug,2018,8
B-25744,08-08-2018,Devendra,Andhra Pradesh,Hyderabad,Aug,2018,8
B-25745,09-08-2018,Kartik,Gujarat,Ahmedabad,Aug,2018,8
B-25746,10-08-2018,Shivam,Maharashtra,Pune,Aug,2018,8
B-25747,11-08-2018,Harsh,Madhya Pradesh,Bhopal,Aug,2018,8
B-25748,12-08-2018,Nitant,Rajasthan,Jaipur,Aug,2018,8
B-25749,13-08-2018,Ayush,Maharashtra,Mumbai,Aug,2018,8
B-25750,14-08-2018,Priyanshu,Madhya Pradesh,Indore,Aug,2018,8
B-25751,14-08-2018,Nishant,Maharashtra,Mumbai,Aug,2018,8
B-25752,14-08-2018,Vaibhav,Madhya Pradesh,Indore,Aug,2018,8
B-25753,17-08-2018,Shivam,Uttar Pradesh,Lucknow,Aug,2018,8
B-25754,18-08-2018,Akshay,Bihar,Patna,Aug,2018,8
B-25755,19-08-2018,Shourya,Kerala ,Thiruvananthapuram,Aug,2018,8
B-25756,20-08-2018,Mohan,Maharashtra,Mumbai,Aug,2018,8
B-25757,21-08-2018,Mohit,Madhya Pradesh,Indore,Aug,2018,8
B-25758,22-08-2018,Shubham,Himachal Pradesh,Simla,Aug,2018,8
B-25759,23-08-2018,Soumya,Sikkim,Gangtok,Aug,2018,8
B-25760,24-08-2018,Pooja,Goa,Goa,Aug,2018,8
B-25761,25-08-2018,Surabhi,Maharashtra,Mumbai,Aug,2018,8
B-25762,26-08-2018,Anudeep,Madhya Pradesh,Indore,Aug,2018,8
B-25763,27-08-2018,Noshiba,Gujarat,Ahmedabad,Aug,2018,8
B-25764,28-08-2018,Sanjova,Maharashtra,Pune,Aug,2018,8
B-25765,29-08-2018,Meghana,Madhya Pradesh,Bhopal,Aug,2018,8
B-25766,30-08-2018,Surabhi,Rajasthan,Jaipur,Aug,2018,8
B-25767,31-08-2018,Ashmeet,West Bengal,Kolkata,Aug,2018,8
B-25768,01-09-2018,Shreyoshe,Karnataka,Bangalore,Sep,2018,9
B-25769,02-09-2018,Surbhi,Maharashtra,Mumbai,Sep,2018,9
B-25770,02-09-2018,Sakshi,Madhya Pradesh,Indore,Sep,2018,9
B-25771,02-09-2018,Vaibhavi,Uttar Pradesh,Lucknow,Sep,2018,9
B-25772,02-09-2018,Sanjana,Bihar,Patna,Sep,2018,9
B-25773,06-09-2018,Shreya,Kerala ,Thiruvananthapuram,Sep,2018,9
B-25774,07-09-2018,Snehal,Punjab,Chandigarh,Sep,2018,9
B-25775,08-09-2018,Duhita,Haryana,Chandigarh,Sep,2018,9
B-25776,09-09-2018,Mousam,Maharashtra,Mumbai,Sep,2018,9
B-25777,10-09-2018,Aditi,Madhya Pradesh,Indore,Sep,2018,9
B-25778,11-09-2018,Surabhi,Maharashtra,Mumbai,Sep,2018,9
B-25779,12-09-2018,Savi,Madhya Pradesh,Indore,Sep,2018,9
B-25780,13-09-2018,Teena,Andhra Pradesh,Hyderabad,Sep,2018,9
B-25781,14-09-2018,Rutuja,Gujarat,Ahmedabad,Sep,2018,9
B-25782,15-09-2018,Aayushi,Maharashtra,Mumbai,Sep,2018,9
B-25783,15-09-2018,Shivangi,Madhya Pradesh,Indore,Sep,2018,9
B-25784,15-09-2018,Rohit,Rajasthan,Jaipur,Sep,2018,9
B-25785,15-09-2018,Ayush,West Bengal,Kolkata,Sep,2018,9
B-25786,19-09-2018,Abhishek,Karnataka,Bangalore,Sep,2018,9
B-25787,20-09-2018,Asish,Jammu and Kashmir,Kashmir,Sep,2018,9
B-25788,21-09-2018,Dinesh,Tamil Nadu,Chennai,Sep,2018,9
B-25789,22-09-2018,Akshay,Uttar Pradesh,Lucknow,Sep,2018,9
B-25790,23-09-2018,Sajal,Bihar,Patna,Sep,2018,9
B-25791,24-09-2018,Avish,Kerala ,Thiruvananthapuram,Sep,2018,9
B-25792,24-09-2018,Abhishek,Maharashtra,Mumbai,Sep,2018,9
B-25793,24-09-2018,Siddharth,Madhya Pradesh,Indore,Sep,2018,9
B-25794,24-09-2018,Aditya,Himachal Pradesh,Simla,Sep,2018,9
B-25795,24-09-2018,Sukant,Sikkim,Gangtok,Sep,2018,9
B-25796,24-09-2018,Sukrith,Maharashtra,Mumbai,Sep,2018,9
B-25797,30-09-2018,Sauptik,Madhya Pradesh,Indore,Sep,2018,9
B-25798,01-10-2018,Shishu,Andhra Pradesh,Hyderabad,Oct,2018,10
B-25799,01-10-2018,Divyansh,Gujarat,Ahmedabad,Oct,2018,10
B-25800,01-10-2018,Ishit,Maharashtra,Pune,Oct,2018,10
B-25801,01-10-2018,Aryan,Madhya Pradesh,Bhopal,Oct,2018,10
B-25802,05-10-2018,Yash,Maharashtra,Mumbai,Oct,2018,10
B-25803,05-10-2018,Shivanshu,Madhya Pradesh,Indore,Oct,2018,10
B-25804,05-10-2018,Sudheer,Karnataka,Bangalore,Oct,2018,10
B-25805,05-10-2018,Ankit,Maharashtra,Mumbai,Oct,2018,10
B-25806,06-10-2018,Dhanraj,Madhya Pradesh,Indore,Oct,2018,10
B-25807,07-10-2018,Vipul,Uttar Pradesh,Lucknow,Oct,2018,10
B-25808,08-10-2018,Apsingekar,Bihar,Patna,Oct,2018,10
B-25809,09-10-2018,Suman,Kerala ,Thiruvananthapuram,Oct,2018,10
B-25810,10-10-2018,Nripraj,Punjab,Chandigarh,Oct,2018,10
B-25811,10-10-2018,Utsav,Maharashtra,Mumbai,Oct,2018,10
B-25812,10-10-2018,Kshitij,Madhya Pradesh,Indore,Oct,2018,10
B-25813,10-10-2018,Hrisheekesh,Maharashtra,Mumbai,Oct,2018,10
B-25814,10-10-2018,Swapnil,Madhya Pradesh,Indore,Oct,2018,10
B-25815,10-10-2018,Harsh,Nagaland,Kohima,Oct,2018,10
B-25816,12-10-2018,Mane,Andhra Pradesh,Hyderabad,Oct,2018,10
B-25817,13-10-2018,Praneet,Maharashtra,Mumbai,Oct,2018,10
B-25818,14-10-2018,Sandeep,Madhya Pradesh,Indore,Oct,2018,10
B-25819,15-10-2018,Ankur,Madhya Pradesh,Bhopal,Oct,2018,10
B-25820,16-10-2018,Dheeraj,Rajasthan,Jaipur,Oct,2018,10
B-25821,16-10-2018,Ajay,West Bengal,Kolkata,Oct,2018,10
B-25822,18-10-2018,Tejas,Karnataka,Bangalore,Oct,2018,10
B-25823,18-10-2018,Rohan,Maharashtra,Mumbai,Oct,2018,10
B-25824,20-10-2018,Shyam,Madhya Pradesh,Indore,Oct,2018,10
B-25825,21-10-2018,Kartik,Madhya Pradesh,Indore,Oct,2018,10
B-25826,22-10-2018,Tanushree,Maharashtra,Mumbai,Oct,2018,10
B-25827,23-10-2018,Sheetal,Madhya Pradesh,Indore,Oct,2018,10
B-25828,24-10-2018,Nikita,Punjab,Chandigarh,Oct,2018,10
B-25829,25-10-2018,Apoorva,Haryana,Chandigarh,Oct,2018,10
B-25830,26-10-2018,Aastha,Himachal Pradesh,Simla,Oct,2018,10
B-25831,27-10-2018,Mahima,Sikkim,Gangtok,Oct,2018,10
B-25832,28-10-2018,Harshita,Maharashtra,Mumbai,Oct,2018,10
B-25833,29-10-2018,Krishna,Madhya Pradesh,Indore,Oct,2018,10
B-25834,29-10-2018,Ananya,Andhra Pradesh,Hyderabad,Oct,2018,10
B-25835,29-10-2018,Moumita,Gujarat,Ahmedabad,Oct,2018,10
B-25836,29-10-2018,Arti,Maharashtra,Pune,Oct,2018,10
B-25837,29-10-2018,Palak,Maharashtra,Mumbai,Oct,2018,10
B-25838,29-10-2018,Sanjana,Madhya Pradesh,Indore,Oct,2018,10
B-25839,30-10-2018,Pranjali,West Bengal,Kolkata,Oct,2018,10
B-25840,31-10-2018,Sneha,Karnataka,Bangalore,Oct,2018,10
B-25841,01-11-2018,Ashvini,Maharashtra,Mumbai,Nov,2018,11
B-25842,02-11-2018,Sheetal,Madhya Pradesh,Indore,Nov,2018,11
B-25843,03-11-2018,Mrunal,Maharashtra,Mumbai,Nov,2018,11
B-25844,03-11-2018,Swati,Madhya Pradesh,Indore,Nov,2018,11
B-25845,03-11-2018,Snel,Kerala ,Thiruvananthapuram,Nov,2018,11
B-25846,03-11-2018,Soodesh,Punjab,Chandigarh,Nov,2018,11
B-25847,03-11-2018,Aniket,Haryana,Chandigarh,Nov,2018,11
B-25848,03-11-2018,Rohan,Himachal Pradesh,Simla,Nov,2018,11
B-25849,04-11-2018,K,Sikkim,Gangtok,Nov,2018,11
B-25850,05-11-2018,Abhishek,Goa,Goa,Nov,2018,11
B-25851,06-11-2018,Kushal,Nagaland,Kohima,Nov,2018,11
B-25852,07-11-2018,Soumyabrata,Andhra Pradesh,Hyderabad,Nov,2018,11
B-25853,08-11-2018,Gaurav,Gujarat,Ahmedabad,Nov,2018,11
B-25854,08-11-2018,Shubham,Maharashtra,Pune,Nov,2018,11
B-25855,08-11-2018,Abhijeet,Madhya Pradesh,Bhopal,Nov,2018,11
B-25856,10-11-2018,Abhijeet,Maharashtra,Mumbai,Nov,2018,11
B-25857,10-11-2018,Anand,Madhya Pradesh,Indore,Nov,2018,11
B-25858,13-11-2018,Swapnil,Maharashtra,Mumbai,Nov,2018,11
B-25859,14-11-2018,Chikku,Madhya Pradesh,Indore,Nov,2018,11
B-25860,15-11-2018,Akshay,Tamil Nadu,Chennai,Nov,2018,11
B-25861,15-11-2018,Aayush,Uttar Pradesh,Lucknow,Nov,2018,11
B-25862,15-11-2018,Amol,Bihar,Patna,Nov,2018,11
B-25863,15-11-2018,Manibalan,Kerala ,Thiruvananthapuram,Nov,2018,11
B-25864,15-11-2018,Aromal,Maharashtra,Mumbai,Nov,2018,11
B-25865,15-11-2018,Arun,Madhya Pradesh,Indore,Nov,2018,11
B-25866,16-11-2018,Komal,Himachal Pradesh,Simla,Nov,2018,11
B-25867,17-11-2018,Ankit,Sikkim,Gangtok,Nov,2018,11
B-25868,18-11-2018,Vikash,Goa,Goa,Nov,2018,11
B-25869,19-11-2018,Parakh,Nagaland,Kohima,Nov,2018,11
B-25870,20-11-2018,Pranav,Andhra Pradesh,Hyderabad,Nov,2018,11
B-25871,21-11-2018,Gunjal,Gujarat,Surat,Nov,2018,11
B-25872,22-11-2018,Saurabh,Maharashtra,Mumbai,Nov,2018,11
B-25873,23-11-2018,Divyeta,Madhya Pradesh,Indore,Nov,2018,11
B-25874,24-11-2018,Megha,Rajasthan,Udaipur,Nov,2018,11
B-25875,24-11-2018,Divyeshkumar,Uttar Pradesh,Allahabad,Nov,2018,11
B-25876,24-11-2018,Bhosale,Punjab,Amritsar,Nov,2018,11
B-25877,24-11-2018,Dashyam,Gujarat,Surat,Nov,2018,11
B-25878,24-11-2018,Mrinal,Maharashtra,Mumbai,Nov,2018,11
B-25879,24-11-2018,Siddharth,Madhya Pradesh,Indore,Nov,2018,11
B-25880,24-11-2018,Apoorv,Rajasthan,Udaipur,Nov,2018,11
B-25881,25-11-2018,Pooja,Uttar Pradesh,Allahabad,Nov,2018,11
B-25882,26-11-2018,Masurkar,Punjab,Amritsar,Nov,2018,11
B-25883,27-11-2018,Saptadeep,Gujarat,Surat,Nov,2018,11
B-25884,28-11-2018,Sumeet,Maharashtra,Mumbai,Nov,2018,11
B-25885,28-11-2018,Shatayu,Madhya Pradesh,Indore,Nov,2018,11
B-25886,28-11-2018,Brijesh,Rajasthan,Udaipur,Nov,2018,11
B-25887,01-12-2018,Vedant,Uttar Pradesh,Allahabad,Dec,2018,12
B-25888,02-12-2018,Rohan,Punjab,Amritsar,Dec,2018,12
B-25889,03-12-2018,Abhishek,Gujarat,Surat,Dec,2018,12
B-25890,04-12-2018,Divyansha,Maharashtra,Mumbai,Dec,2018,12
B-25891,04-12-2018,Shivani,Madhya Pradesh,Indore,Dec,2018,12
B-25892,04-12-2018,Aditi,Rajasthan,Udaipur,Dec,2018,12
B-25893,04-12-2018,Aashna,Uttar Pradesh,Allahabad,Dec,2018,12
B-25894,04-12-2018,Monu,Punjab,Amritsar,Dec,2018,12
B-25895,04-12-2018,Sathya,Gujarat,Surat,Dec,2018,12
B-25896,05-12-2018,Aman,Maharashtra,Mumbai,Dec,2018,12
B-25897,06-12-2018,Rohan,Madhya Pradesh,Indore,Dec,2018,12
B-25898,07-12-2018,Abhishek,Rajasthan,Udaipur,Dec,2018,12
B-25899,08-12-2018,Aishwarya,Uttar Pradesh,Allahabad,Dec,2018,12
B-25900,09-12-2018,Anand,Punjab,Amritsar,Dec,2018,12
B-25901,10-12-2018,Suraj,Gujarat,Surat,Dec,2018,12
B-25902,10-12-2018,Ishpreet,Maharashtra,Mumbai,Dec,2018,12
B-25903,10-12-2018,Amlan,Madhya Pradesh,Indore,Dec,2018,12
B-25904,10-12-2018,Swapnil,Delhi,Delhi,Dec,2018,12
B-25905,11-12-2018,Bhargav,Madhya Pradesh,Delhi,Dec,2018,12
B-25906,11-12-2018,Abhijit,Delhi,Delhi,Dec,2018,12
B-25907,11-12-2018,Jaydeep,Madhya Pradesh,Bhopal,Dec,2018,12
B-25908,12-12-2018,Pradeep,Delhi,Delhi,Dec,2018,12
B-25909,13-12-2018,Sujay,Madhya Pradesh,Delhi,Dec,2018,12
B-25910,14-12-2018,Jay,Delhi,Delhi,Dec,2018,12
B-25911,15-12-2018,Phalguni,Madhya Pradesh,Bhopal,Dec,2018,12
B-25912,16-12-2018,Preksha,Delhi,Delhi,Dec,2018,12
B-25913,17-12-2018,Geetanjali,Madhya Pradesh,Delhi,Dec,2018,12
B-25914,18-12-2018,Kajal,Delhi,Delhi,Dec,2018,12
B-25915,19-12-2018,Sukruta,Punjab,Amritsar,Dec,2018,12
B-25916,20-12-2018,Utkarsh,Gujarat,Surat,Dec,2018,12
B-25917,21-12-2018,Sanjay,Maharashtra,Mumbai,Dec,2018,12
B-25918,22-12-2018,Karandeep,Madhya Pradesh,Indore,Dec,2018,12
B-25919,23-12-2018,Neha,Rajasthan,Udaipur,Dec,2018,12
B-25920,24-12-2018,Jayanti,Uttar Pradesh,Allahabad,Dec,2018,12
B-25921,25-12-2018,Sandra,Punjab,Amritsar,Dec,2018,12
B-25922,26-12-2018,Akshata,Gujarat,Surat,Dec,2018,12
B-25923,27-12-2018,Vishakha,Maharashtra,Mumbai,Dec,2018,12
B-25924,28-12-2018,Prajakta,Karnataka,Bangalore,Dec,2018,12
B-25925,29-12-2018,Shruti,Maharashtra,Mumbai,Dec,2018,12
B-25926,30-12-2018,Dipali,Madhya Pradesh,Indore,Dec,2018,12
B-25927,31-12-2018,Shreya,Uttar Pradesh,Lucknow,Dec,2018,12
B-25928,01-01-2019,Smriti,Bihar,Patna,Jan,2019,1
B-25929,02-01-2019,Girase,Kerala ,Thiruvananthapuram,Jan,2019,1
B-25930,03-01-2019,Monica,Punjab,Chandigarh,Jan,2019,1
B-25931,04-01-2019,Sidharth,Maharashtra,Mumbai,Jan,2019,1
B-25932,04-01-2019,Bhutekar,Madhya Pradesh,Indore,Jan,2019,1
B-25933,04-01-2019,Shikhar,Maharashtra,Mumbai,Jan,2019,1
B-25934,04-01-2019,Rahul,Madhya Pradesh,Indore,Jan,2019,1
B-25935,04-01-2019,Sudhir,Nagaland,Kohima,Jan,2019,1
B-25936,05-01-2019,Nikhil,Punjab,Chandigarh,Jan,2019,1
B-25937,05-01-2019,Ankit,Haryana,Chandigarh,Jan,2019,1
B-25938,05-01-2019,Shikhar,Himachal Pradesh,Simla,Jan,2019,1
B-25939,05-01-2019,Vineet,Sikkim,Gangtok,Jan,2019,1
B-25940,06-01-2019,Vivek,Goa,Goa,Jan,2019,1
B-25941,07-01-2019,Jaideep,Nagaland,Kohima,Jan,2019,1
B-25942,08-01-2019,Ankur,Andhra Pradesh,Hyderabad,Jan,2019,1
B-25943,09-01-2019,Shardul,Gujarat,Ahmedabad,Jan,2019,1
B-25944,10-01-2019,Syed,Maharashtra,Pune,Jan,2019,1
B-25945,11-01-2019,Mhatre,Madhya Pradesh,Indore,Jan,2019,1
B-25946,12-01-2019,Saurabh,Andhra Pradesh,Hyderabad,Jan,2019,1
B-25947,13-01-2019,Chetan,Gujarat,Ahmedabad,Jan,2019,1
B-25948,13-01-2019,Mukund,Maharashtra,Pune,Jan,2019,1
B-25949,13-01-2019,Shantanu,Maharashtra,Mumbai,Jan,2019,1
B-25950,13-01-2019,Shruti,Madhya Pradesh,Indore,Jan,2019,1
B-25951,13-01-2019,Jesal,West Bengal,Kolkata,Jan,2019,1
B-25952,13-01-2019,Priyanka,Madhya Pradesh,Indore,Jan,2019,1
B-25953,14-01-2019,Krutika,Andhra Pradesh,Hyderabad,Jan,2019,1
